customer_id,worker_id,cleaning,cooking,gardening,childcare,petcare,eldercare,shopping,homeorganize,handyman,tutoring,rating
0,8959,1,0,0,0,0,0,0,0,0,0,1
1,4380,1,1,1,1,1,1,1,1,1,0,5
2,2937,0,0,0,0,0,1,1,1,1,1,3
3,342,1,1,1,1,1,1,1,1,1,1,4
4,5027,0,1,1,0,1,0,1,0,0,1,4
5,1741,0,0,0,0,0,1,1,0,0,0,3
6,8551,0,1,0,1,1,1,1,1,0,0,2
7,6378,1,1,1,1,1,1,1,1,1,0,4
8,3511,1,1,1,1,1,1,0,1,0,1,3
9,9153,0,0,1,1,0,0,0,0,0,0,1
10,3203,0,1,1,1,1,1,1,1,1,1,2
11,262,1,1,1,1,1,1,0,1,0,1,3
12,129,1,0,0,0,1,0,0,0,1,0,4
13,4540,1,1,1,0,1,1,1,1,1,0,1
14,8774,1,1,0,1,1,1,0,1,1,1,3
15,1635,1,0,1,0,1,1,0,0,0,1,3
16,1910,1,1,0,0,1,0,0,1,1,1,1
17,6608,0,0,0,0,1,1,1,0,1,0,5
18,9782,1,1,1,1,1,1,1,1,1,1,4
19,8309,1,1,1,1,1,1,1,1,1,1,1
20,7322,0,0,0,0,0,1,0,0,1,0,3
21,1368,0,1,1,1,1,1,1,1,1,1,4
22,7590,0,1,0,0,0,0,0,1,0,1,2
23,9183,0,0,0,1,0,0,0,0,0,0,3
24,95,1,0,0,1,1,0,1,0,1,0,1
25,1683,0,0,1,1,0,1,1,0,1,1,2
26,4900,0,0,1,0,1,0,0,0,1,1,3
27,4293,0,0,1,1,0,1,0,0,0,0,2
28,9760,0,0,0,0,0,1,0,0,1,0,5
29,9469,1,1,1,0,1,1,1,1,1,0,5
30,6096,1,1,0,1,0,0,1,1,0,1,2
31,3119,0,0,0,0,1,1,0,0,0,0,2
32,2002,0,0,1,1,0,1,1,1,1,1,1
33,9543,0,1,1,0,1,0,1,0,1,1,5
34,4752,0,0,0,0,1,0,0,1,0,0,5
35,6431,0,1,0,1,1,0,1,1,1,0,1
36,4622,1,1,1,0,0,1,1,1,1,1,4
37,5118,0,0,1,1,0,0,1,1,0,1,2
38,7541,0,0,1,1,1,0,0,0,0,0,4
39,7591,1,1,0,1,1,1,1,0,0,1,1
40,5888,0,1,0,1,0,0,0,0,1,0,1
41,4781,0,0,0,1,1,1,1,1,1,1,1
42,7291,0,1,1,1,1,1,1,1,0,1,2
43,6436,0,0,1,1,1,0,1,1,1,1,2
44,3584,1,1,0,0,0,1,0,1,1,0,1
45,797,1,1,1,1,0,1,1,1,1,1,2
46,7247,1,0,1,1,0,0,0,1,0,0,5
47,8828,1,0,1,0,0,0,0,0,1,0,4
48,94,1,1,1,0,1,0,1,0,0,1,5
49,9210,0,0,0,0,0,0,0,1,0,0,2
50,7179,0,0,0,1,0,1,0,1,0,0,4
51,792,1,1,1,1,0,1,1,0,1,1,2
52,6220,1,1,1,1,1,1,1,1,1,0,3
53,5537,0,1,1,1,1,1,0,0,0,0,2
54,7148,0,0,0,1,1,0,0,0,1,1,4
55,7746,1,0,0,0,0,0,1,1,0,0,2
56,7274,1,0,0,0,0,0,0,1,0,0,3
57,7411,1,1,1,0,1,0,0,1,0,1,4
58,8658,0,0,0,0,0,0,0,0,1,1,2
